MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
1968501000006111,9t29,9t29.00,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census",978171000000105,2487801000000118,22
1968511000006114,9t2A,9t2A.00,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,978191000000109,2487851000000117,22
1968521000006118,9t2B,9t2B.00,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,978211000000108,2487891000000113,22
1968531000006115,9t2C,9t2C.00,"African: African, African Scottish or African British - Scotland ethnic category 2011 census",978231000000100,2487931000000115,22
1968541000006113,9t2D,9t2D.00,African: any other African - Scotland ethnic category 2011 census,978251000000107,2487971000000118,22
1968551000006110,9t2E,9t2E.00,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census",978271000000103,2488011000000113,22
1968561000006112,9t2F,9t2F.00,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census",978341000000102,2488181000000119,22
1968571000006117,9t2G,9t2G.00,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,978361000000101,2488221000000112,22
1968581000006119,9t2H,9t2H.00,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",978381000000105,2488261000000116,22
1968591000006116,9t2J,9t2J.00,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,978401000000105,2488301000000114,22
2484471000000115,9t,9t...00,Ethnic category - 2011 census,976551000000109,2484471000000115,22
2484511000000112,9t0,9t0..00,Ethnic category - 2011 census England and Wales,976571000000100,2484511000000112,22
2484551000000111,9t1,9t1..00,Ethnic category - 2011 census Northern Ireland,976591000000101,2484551000000111,22
2484591000000115,9t2,9t2..00,Ethnic category - 2011 census Scotland,976611000000109,2484591000000115,22
2484671000000118,9t01,9t01.00,White: Irish - England and Wales ethnic category 2011 census,976651000000108,2484671000000118,22
2486161000000112,9t10,9t10.00,White - Northern Ireland ethnic category 2011 census,977351000000100,2486161000000112,22
2487281000000112,9t20,9t20.00,White: Scottish - Scotland ethnic category 2011 census,977911000000103,2487281000000112,22
